Accession,Organism_Name,GenBank_RefSeq,Assembly,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
MN449341,Canine kobuvirus,GenBank,set:MN449341,,"Cui,Y., Li,Y.","Anhui Agricultyral University, College of Animal Science and Technology",China,10/6/19,CaKoV AH-1/CHN/2019,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),8223,complete,,,,China,China,,Canis lupus familiaris,feces,2019-04,,,"Canine kobuvirus isolate CaKoV AH-1/CHN/2019, complete genome"
MK671314,Feline kobuvirus,GenBank,set:MK671314,,"Yi,S.","Jilin Agricultural University, Animal Science and Technology College",China,10/2/19,FKV/18CC0503,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8289,complete,,,,China: Changchun,China,,Felis catus,feces,2018,,,"Feline kobuvirus isolate FKV/18CC0503, complete genome"
MK671315,Feline kobuvirus,GenBank,set:MK671315,,"Yi,S.","Jilin Agricultural University, Animal Science and Technology College",China,10/2/19,FKV/18CC0718,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8289,complete,,,,China: Changchun,China,,Felis catus,feces,2018,,,"Feline kobuvirus isolate FKV/18CC0718, complete genome"
MN116647,Aichivirus A,GenBank,set:MN116647,,"Boros,A., Orlovacz,K., Pankovics,P., Szekeres,S., Foldvari,G., Fahsbender,E., Delwart,E., Reuter,G.","Medical School, University of Pecs, Medical Microbiology and Immunology",Hungary,8/14/19,,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8268,complete,,,1,Hungary,Hungary,,Rattus norvegicus,feces,2018,,,"Aichivirus A strain rat08/rAiA/HUN, complete genome"
MK201776,Canine kobuvirus,GenBank,set:MK201776,,"Charoenkul,K., Janetanakit,T., Chaiyawong,S., Bunpapong,N., Boonyapisitsopa,S., Tangwangvivat,R., Amonsin,A.","Center of Excellence for Emerging and Re-emerging Infectious Diseases in Animals, Chulalongkorn University, Department of Veterinary Public Health",Thailand,7/1/19,,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),7698,partial,,,,Thailand,Thailand,,Canis lupus familiaris,feces,2016,,,"Canine kobuvirus strain CU_53 polyprotein gene, complete cds"
MK201777,Canine kobuvirus,GenBank,set:MK201777,,"Charoenkul,K., Janetanakit,T., Chaiyawong,S., Bunpapong,N., Boonyapisitsopa,S., Tangwangvivat,R., Amonsin,A.","Center of Excellence for Emerging and Re-emerging Infectious Diseases in Animals, Chulalongkorn University, Department of Veterinary Public Health",Thailand,7/1/19,,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),7698,partial,,,,Thailand,Thailand,,Canis lupus familiaris,feces,2016,,,"Canine kobuvirus strain CU_101 polyprotein gene, complete cds"
MK201778,Canine kobuvirus,GenBank,set:MK201778,,"Charoenkul,K., Janetanakit,T., Chaiyawong,S., Bunpapong,N., Boonyapisitsopa,S., Tangwangvivat,R., Amonsin,A.","Center of Excellence for Emerging and Re-emerging Infectious Diseases in Animals, Chulalongkorn University, Department of Veterinary Public Health",Thailand,7/1/19,,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),7698,partial,,,,Thailand,Thailand,,Canis lupus familiaris,feces,2017,,,"Canine kobuvirus strain CU_249 polyprotein gene, complete cds"
MK201779,Canine kobuvirus,GenBank,set:MK201779,,"Charoenkul,K., Janetanakit,T., Chaiyawong,S., Bunpapong,N., Boonyapisitsopa,S., Tangwangvivat,R., Amonsin,A.","Center of Excellence for Emerging and Re-emerging Infectious Diseases in Animals, Chulalongkorn University, Department of Veterinary Public Health",Thailand,7/1/19,,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),7698,partial,,,,Thailand,Thailand,,Canis lupus familiaris,feces,2018,,,"Canine kobuvirus strain CU_716 polyprotein gene, complete cds"
MK080265,Bovine kobuvirus,GenBank,set:MK080265,,"L,H., T,C., Y,H.","College of Life Science and Technology, Southwest Minzu Universty",China,1/16/19,,Aichivirus B,Kobuvirus,Picornaviridae,ssRNA(+),7907,partial,,,,China,China,,Bos taurus,feces,2/28/18,,,"Bovine kobuvirus polyprotein gene, complete cds"
MH159813,Feline kobuvirus,GenBank,set:MH159813,,"Niu,J., Yi,S., Wang,H., Guo,Y., Dong,H., Wang,K., Hu,G.","Jilin Agricultural University, College of Animal Science and Technology",China,10/23/18,17CC0811,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),7618,partial,,,,China,China,,Feliformia,,2017,,,"Feline kobuvirus isolate 17CC0811 polyprotein gene, complete cds"
MH159814,Feline kobuvirus,GenBank,set:MH159814,,"Niu,J., Yi,S., Wang,H., Guo,Y., Dong,H., Wang,K., Hu,G.","Jilin Agricultural University, College of Animal Science and Technology",China,10/23/18,16JZ0605,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),7621,partial,,,,China,China,,Feliformia,,2016,,,"Feline kobuvirus isolate 16JZ0605 polyprotein gene, complete cds"
MH747478,Canine kobuvirus,GenBank,set:MH747478,,"Barros,B.C.V., Castro,C.M.O., Pereira,D., Ribeiro,L.G., Junior,J.W.D., Casseb,S.M.M., Holanda,G.M., Cruz,A.C.R., Junior,E.C.S., Mascarenhas,J.D.P.","Instituto Evandro Chagas, Virology",Brazil,9/18/18,26,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),8312,complete,,,,Brazil,Brazil,,Canis lupus familiaris,feces,2016,,,"Canine kobuvirus strain CaKoV-26, complete genome"
MG009596,Aichi virus 1,GenBank,set:MG009596,,"Altan,E., Aiemjoy,K., Phan,T.G., Deng,X., Aragie,S., Tadesse,Z., Callahan,K.E., Keenan,J., Delwart,E.","Blood Systems Research Institute, Molecular Virology",USA,9/3/18,ETH/2016/P4,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8057,partial,,,1,Ethiopia,Ethiopia,,Homo sapiens,feces,2016-04,,,"Aichi virus 1 isolate ETH/2016/P4, partial genome"
MG692430,Aichi virus 1,GenBank,set:MG692430,,"Altan,E., Aiemjoy,K., Phan,T.G., Deng,X., Aragie,S., Tadesse,Z., Callahan,K.E., Keenan,J., Delwart,E.","Blood Systems Research Institute, Molecular Virology",USA,8/7/18,ETH/2016/P6,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),7369,partial,,,1,Ethiopia,Ethiopia,,Homo sapiens,feces,2016-04,,,"Aichi virus 1 isolate ETH/2016/P6 polyprotein gene, partial cds"
MG692431,Aichi virus 1,GenBank,set:MG692431,,"Altan,E., Aiemjoy,K., Phan,T.G., Deng,X., Aragie,S., Tadesse,Z., Callahan,K.E., Keenan,J., Delwart,E.","Blood Systems Research Institute, Molecular Virology",USA,8/7/18,ETH/2016/P9,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),7741,partial,,,1,Ethiopia,Ethiopia,,Homo sapiens,feces,2016-04,,,"Aichi virus 1 isolate ETH/2016/P9 polyprotein gene, partial cds"
MH052678,Canine kobuvirus,GenBank,set:MH052678,,"Moreno,P.S., Wagner,J., Kirkwood,C.D., Gilkerson,J.R., Mansfield,C.S., Moreno,P.","The University Of Melbourne, Faculty of Veterinary and Agricultural Sciences",Australia,7/24/18,CaKoV_CE9_AUS_2012,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),8058,partial,,,1,Australia,Australia,,Canis lupus familiaris,feces,2012,,,"Canine kobuvirus isolate CaKoV_CE9_AUS_2012 polyprotein gene, complete cds"
MF598159,Feline kobuvirus,GenBank,set:MF598159,,"Lu,G., Zhang,X., Luo,J., Sun,Y., Xu,H., Huang,J., Ou,J., Li,S.","South China Agricultural University, College of Veterinary Medicine",,6/12/18,,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8130,complete,,,1,China,China,,Felis catus,feces,2017,,,"Feline kobuvirus strain WHJ-1, complete genome"
MF352432,Aichivirus A,GenBank,set:MF352432,,"Guo,W.-P., Zhang,Y.-Z.","National Institute for Communicable Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Zoonoses",China,5/19/18,,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8295,partial,,,,China: Zhejiang,China,,Rattus tanezumi,feces,2012,,,"Aichivirus A strain Wencheng-Rt386-2 polyprotein gene, complete cds"
MF506730,Porcine kobuvirus,GenBank,set:MF506730,,"Lin,C.-M., Wang,Q.","Department of Veterinary Preventive Medicine, The Ohio State University, Food Animal Health Research Program, Ohio Agricultural Research and Development Center",USA,5/5/18,OH/RV11/2011,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8152,complete,,,,USA,USA,,Sus scrofa,feces,4/13/11,,,"Porcine kobuvirus isolate OH/RV11/2011, complete genome"
MG200054,Aichivirus A,GenBank,set:MG200054,,"Northill,J.A., Simmons,R.J.","Queensland Health Forensic and Scientific Services, Public Health Virology",Australia,5/5/18,,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8169,partial,,,,Australia,Australia,,Homo sapiens,feces,2008-01,,,"Aichivirus A strain FSS693 polyprotein gene, complete cds"
MF175074,Murine kobuvirus 1,GenBank,set:MF175074,,"Willams,S.H., Che,X., Garcia,J.A., Klena,J.D., Lee,B., Muller,D., Ulrich,W., Corrigan,R.M., Nichol,S., Jain,K., Lipkin,W.I., Williams,S.H.","Columbia University, Center for Infection & Immunity",USA,4/25/18,MKV1/NYC/2014/M014/0146,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8099,partial,,,,USA,USA,,Mus musculus,feces,8/20/14,,,"Murine kobuvirus 1 isolate MKV1/NYC/2014/M014/0146, partial genome"
KY855436,Marmot kobuvirus,GenBank,set:KY855436,,"Luo,X.L., Lu,S., Jin,D., Yang,J., Wu,S.S., Xu,J., Luo,X., Xiong,Y., Pu,J.","National Institute for Communicable Disease Control and Prevention, Chinese Center for Disease Control and Prevention",China,4/15/18,,Marmot kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),8283,complete,,,1,China,China,,Marmota himalayana,,2013,,,"Marmot kobuvirus strain HT9, complete genome"
MF947441,Kobuvirus sp.,GenBank,set:MF947441,,"Lu,L., Van Dung,N., Ivens,A., Bogaardt,C., O'Toole,A., Bryant,J.E., Carrique-Mas,J., Van Cuong,N., Anh,P.H., Rabaa,M.A., Tue,N.T., Thwaites,G.E., Baker,S., Simmonds,P., Woolhouse,M.E., Woolhouse,M.","University of Edinburgh, Centre for Immunity, Infection and Evolution",,2/27/18,,Kobuvirus sp.,Kobuvirus,Picornaviridae,ssRNA(+),8244,partial,,,1,Viet Nam,Viet Nam,,Homo sapiens,feces,5/19/14,,,"Kobuvirus sp. strain 16317x87 polyprotein gene, complete cds"
MF947442,Kobuvirus sp.,GenBank,set:MF947442,,"Lu,L., Van Dung,N., Ivens,A., Bogaardt,C., O'Toole,A., Bryant,J.E., Carrique-Mas,J., Van Cuong,N., Anh,P.H., Rabaa,M.A., Tue,N.T., Thwaites,G.E., Baker,S., Simmonds,P., Woolhouse,M.E., Woolhouse,M.","University of Edinburgh, Centre for Immunity, Infection and Evolution",,2/27/18,,Kobuvirus sp.,Kobuvirus,Picornaviridae,ssRNA(+),7312,partial,,,1,Viet Nam,Viet Nam,,Homo sapiens,feces,7/16/14,,,"Kobuvirus sp. strain 16806x8 polyprotein gene, partial cds"
MG800803,Porcine kobuvirus,GenBank,set:MG800803,,"Wang,Y., Yang,S.","Jiangsu University, Medical school",China,2/21/18,Chgz1,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7993,partial,,,,China,China,,Sus scrofa,,9/15/15,,,"Porcine kobuvirus isolate Chgz1 polyprotein gene, complete cds"
MG800804,Porcine kobuvirus,GenBank,set:MG800804,,"Wang,Y., Yang,S.","Jiangsu University, Medical school",China,2/21/18,Chgz2,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7995,partial,,,,China,China,,Sus scrofa,,9/15/15,,,"Porcine kobuvirus isolate Chgz2 polyprotein gene, complete cds"
MG800805,Porcine kobuvirus,GenBank,set:MG800805,,"Wang,Y., Yang,S.","Jiangsu University, Medical school",China,2/21/18,Chgz3,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7995,partial,,,,China,China,,Sus scrofa,,9/15/15,,,"Porcine kobuvirus isolate Chgz3 polyprotein gene, complete cds"
MG800806,Porcine kobuvirus,GenBank,set:MG800806,,"Wang,Y., Yang,S.","Jiangsu University, Medical school",China,2/21/18,Chgz4,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8141,partial,,,,China,China,,Sus scrofa,,9/15/15,,,"Porcine kobuvirus isolate Chgz4 polyprotein gene, complete cds"
MG800807,Porcine kobuvirus,GenBank,set:MG800807,,"Wang,Y., Yang,S.","Jiangsu University, Medical school",China,2/21/18,Chgz5,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7993,partial,,,,China,China,,Sus scrofa,,9/15/15,,,"Porcine kobuvirus isolate Chgz5 polyprotein gene, complete cds"
KY432931,aichivirus A7,GenBank,set:KY432931,,"Wu,Z., Lu,L., Du,J., Yang,L., Ren,X., Liu,B., Jiang,J., Yang,J., Dong,J., Sun,L., Zhu,Y., Li,Y., Zheng,D., Zhang,C., Su,H., Zheng,Y., Zhou,H., Zhu,G., Li,H., Chmura,A., Yang,F., Daszak,P., Wang,J., Liu,Q., Jin,Q.","Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College, Moh Key Laboratory of Systems Biology of Pathogens",China,12/4/17,RtMruf-PicoV/JL2014-2,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8184,partial,,,1,China,China,,Rodentia,,,,,"Aichivirus A7 isolate RtMruf-PicoV/JL2014-2 polyprotein gene, complete cds"
LT898428,Porcine kobuvirus,GenBank,set:LT898428,,"Pohlmann,A.","Friedrich-Loeffler-Institut, Institute of Diagnostic Virology, Suedufer 10, 17489 Greifswald - Insel Riems",Germany,8/8/17,PKV/GER/L00919-K17_14-02/2014,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8016,complete,,,,Germany,Germany,,Sus scrofa,,11/3/14,SAMEA81286168,PRJEB19039,"Porcine kobuvirus isolate PKV_GER_L00919-K17_14-02_2014 genome assembly, complete genome: monopartite"
KY407744,Bovine kobuvirus,GenBank,set:KY407744,,"Mohamed,F.F., Mansour,S.M.G., Orabi,A., El-Araby,I.E., Ng,T.F.F., Mor,S.K., Goyal,S.M.","Faculty of Veterinary Medicine, Zagazig University, Department of Virology",Egypt,6/30/17,,Aichivirus B,Kobuvirus,Picornaviridae,ssRNA(+),8319,complete,,,1,Egypt,Egypt,,Bos taurus,feces,2014,,,"Bovine kobuvirus strain BKoV/EGY-1, complete genome"
NC_034971,Canine kobuvirus,RefSeq,GCF_002194365.1,,"Li,X.M., Tang,C., Wang,M.","National Center for Biotechnology Information, NIH",USA,6/13/17,SMCD-59,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),8216,complete,,,,China,China,,Canis lupus familiaris,feces,2015-09,,PRJNA485481,"Canine kobuvirus isolate SMCD-59, complete genome"
MF062158,Canine kobuvirus,GenBank,set:MF062158,,"Li,X.M., Tang,C., Wang,M.","Southwest MinZu Nuiversity, College Of Life Science and Technology",China,6/12/17,SMCD-59,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),8216,complete,,,,China,China,,Canis lupus familiaris,feces,2015-09,,,"Canine kobuvirus isolate SMCD-59, complete genome"
MF062435,Porcine kobuvirus,GenBank,set:MF062435,,"Yan,J., Liang,D., Sun,X., Li,C., He,Q., Feng,S., Liu,Q., Xiong,Y.","Center of Animal Epidemic Prention and Control, Division of Livestock",China,5/24/17,Guangxi/G1/2012/CH,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7467,partial,,,,China: Guangxi,China,,Sus scrofa,abdominal cavity,2012-05,,,"Porcine kobuvirus isolate Guangxi/G1/2012/CH polyprotein gene, complete cds"
MF062436,Porcine kobuvirus,GenBank,set:MF062436,,"Yan,J., Liang,D., Sun,X., Li,C., He,Q., Feng,S., Liu,Q., Xiong,Y.","Center of Animal Epidemic Prention and Control, Division of Livestock",China,5/24/17,Guangxi/G21/2014/CH,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7467,partial,,,,China: Guangxi,China,,Sus scrofa,abdominal cavity,2014-01,,,"Porcine kobuvirus isolate Guangxi/G21/2014/CH polyprotein gene, complete cds"
MF062437,Porcine kobuvirus,GenBank,set:MF062437,,"Yan,J., Liang,D., Sun,X., Li,C., He,Q., Feng,S., Liu,Q., Xiong,Y.","Center of Animal Epidemic Prention and Control, Division of Livestock",China,5/24/17,Guangxi/G20/2013/CH,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7377,partial,,,,China: Guangxi,China,,Sus scrofa,abdominal cavity,2013-05,,,"Porcine kobuvirus isolate Guangxi/G20/2013/CH polyprotein gene, complete cds"
MF062438,Porcine kobuvirus,GenBank,set:MF062438,,"Yan,J., Liang,D., Sun,X., Li,C., He,Q., Feng,S., Liu,Q., Xiong,Y.","Center of Animal Epidemic Prention and Control, Division of Livestock",China,5/24/17,Guangxi/G19/2013/CH,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7377,partial,,,,China: Guangxi,China,,Sus scrofa,abdominal cavity,2013-05,,,"Porcine kobuvirus isolate Guangxi/G19/2013/CH polyprotein gene, complete cds"
MF062439,Porcine kobuvirus,GenBank,set:MF062439,,"Yan,J., Liang,D., Sun,X., Li,C., He,Q., Feng,S., Liu,Q., Xiong,Y.","Center of Animal Epidemic Prention and Control, Division of Livestock",China,5/24/17,Guangxi/G18/2013/CH,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7467,partial,,,,China: Guangxi,China,,Sus scrofa,abdominal cavity,2013-02,,,"Porcine kobuvirus isolate Guangxi/G18/2013/CH polyprotein gene, complete cds"
MF062440,Porcine kobuvirus,GenBank,set:MF062440,,"Yan,J., Liang,D., Sun,X., Li,C., He,Q., Feng,S., Liu,Q., Xiong,Y.","Center of Animal Epidemic Prention and Control, Division of Livestock",China,5/24/17,Guangxi/G17/2013/CH,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7467,partial,,,,China: Guangxi,China,,Sus scrofa,abdominal cavity,2013-03,,,"Porcine kobuvirus isolate Guangxi/G17/2013/CH polyprotein gene, complete cds"
MF062441,Porcine kobuvirus,GenBank,set:MF062441,,"Yan,J., Liang,D., Sun,X., Li,C., He,Q., Feng,S., Liu,Q., Xiong,Y.","Center of Animal Epidemic Prention and Control, Division of Livestock",China,5/24/17,Guangxi/G16/2013/CH,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7377,partial,,,,China: Guangxi,China,,Sus scrofa,abdominal cavity,2013-01,,,"Porcine kobuvirus isolate Guangxi/G16/2013/CH polyprotein gene, complete cds"
MF062442,Porcine kobuvirus,GenBank,set:MF062442,,"Yan,J., Liang,D., Sun,X., Li,C., He,Q., Feng,S., Liu,Q., Xiong,Y.","Center of Animal Epidemic Prention and Control, Division of Livestock",China,5/24/17,Guangxi/G15/2013/CH,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7377,partial,,,,China: Guangxi,China,,Sus scrofa,abdominal cavity,2013-01,,,"Porcine kobuvirus isolate Guangxi/G15/2013/CH polyprotein gene, complete cds"
MF062443,Porcine kobuvirus,GenBank,set:MF062443,,"Yan,J., Liang,D., Sun,X., Li,C., He,Q., Feng,S., Liu,Q., Xiong,Y.","Center of Animal Epidemic Prention and Control, Division of Livestock",China,5/24/17,Guangxi/G14/2013/CH,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7467,partial,,,,China: Guangxi,China,,Sus scrofa,abdominal cavity,2013-01,,,"Porcine kobuvirus isolate Guangxi/G14/2013/CH polyprotein gene, complete cds"
MF062444,Porcine kobuvirus,GenBank,set:MF062444,,"Yan,J., Liang,D., Sun,X., Li,C., He,Q., Feng,S., Liu,Q., Xiong,Y.","Center of Animal Epidemic Prention and Control, Division of Livestock",China,5/24/17,Guangxi/G13/2013/CH,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7467,partial,,,,China: Guangxi,China,,Sus scrofa,abdominal cavity,2013-01,,,"Porcine kobuvirus isolate Guangxi/G13/2013/CH polyprotein gene, complete cds"
MF062445,Porcine kobuvirus,GenBank,set:MF062445,,"Yan,J., Liang,D., Sun,X., Li,C., He,Q., Feng,S., Liu,Q., Xiong,Y.","Center of Animal Epidemic Prention and Control, Division of Livestock",China,5/24/17,Guangxi/G12/2012/CH,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7467,partial,,,,China: Guangxi,China,,Sus scrofa,abdominal cavity,2012-12,,,"Porcine kobuvirus isolate Guangxi/G12/2012/CH polyprotein gene, complete cds"
MF062446,Porcine kobuvirus,GenBank,set:MF062446,,"Yan,J., Liang,D., Sun,X., Li,C., He,Q., Feng,S., Liu,Q., Xiong,Y.","Center of Animal Epidemic Prention and Control, Division of Livestock",China,5/24/17,Guangxi/G11/2012/CH,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7377,partial,,,,China: Guangxi,China,,Sus scrofa,abdominal cavity,2012-12,,,"Porcine kobuvirus isolate Guangxi/G11/2012/CH polyprotein gene, complete cds"
MF062447,Porcine kobuvirus,GenBank,set:MF062447,,"Yan,J., Liang,D., Sun,X., Li,C., He,Q., Feng,S., Liu,Q., Xiong,Y.","Center of Animal Epidemic Prention and Control, Division of Livestock",China,5/24/17,Guangxi/G9/2012/CH,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7467,partial,,,,China: Guangxi,China,,Sus scrofa,abdominal cavity,2012-10,,,"Porcine kobuvirus isolate Guangxi/G9/2012/CH polyprotein gene, complete cds"
MF062448,Porcine kobuvirus,GenBank,set:MF062448,,"Yan,J., Liang,D., Sun,X., Li,C., He,Q., Feng,S., Liu,Q., Xiong,Y.","Center of Animal Epidemic Prention and Control, Division of Livestock",China,5/24/17,Guangxi/G8/2012/CH,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7377,partial,,,,China: Guangxi,China,,Sus scrofa,abdominal cavity,2012-07,,,"Porcine kobuvirus isolate Guangxi/G8/2012/CH polyprotein gene, complete cds"
MF062449,Porcine kobuvirus,GenBank,set:MF062449,,"Yan,J., Liang,D., Sun,X., Li,C., He,Q., Feng,S., Liu,Q., Xiong,Y.","Center of Animal Epidemic Prention and Control, Division of Livestock",China,5/24/17,Guangxi/G7/2012/CH,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7467,partial,,,,China: Guangxi,China,,Sus scrofa,abdominal cavity,2012-07,,,"Porcine kobuvirus isolate Guangxi/G7/2012/CH polyprotein gene, complete cds"
MF062450,Porcine kobuvirus,GenBank,set:MF062450,,"Yan,J., Liang,D., Sun,X., Li,C., He,Q., Feng,S., Liu,Q., Xiong,Y.","Center of Animal Epidemic Prention and Control, Division of Livestock",China,5/24/17,Guangxi/G6/2012/CH,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7467,partial,,,,China: Guangxi,China,,Sus scrofa,abdominal cavity,2012-06,,,"Porcine kobuvirus isolate Guangxi/G6/2012/CH polyprotein gene, complete cds"
MF062451,Porcine kobuvirus,GenBank,set:MF062451,,"Yan,J., Liang,D., Sun,X., Li,C., He,Q., Feng,S., Liu,Q., Xiong,Y.","Center of Animal Epidemic Prention and Control, Division of Livestock",China,5/24/17,Guangxi/G5/2012/CH,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7467,partial,,,,China: Guangxi,China,,Sus scrofa,abdominal cavity,2012-06,,,"Porcine kobuvirus isolate Guangxi/G5/2012/CH polyprotein gene, complete cds"
MF062452,Porcine kobuvirus,GenBank,set:MF062452,,"Yan,J., Liang,D., Sun,X., Li,C., He,Q., Feng,S., Liu,Q., Xiong,Y.","Center of Animal Epidemic Prention and Control, Division of Livestock",China,5/24/17,Guangxi/G2/2012/CH,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7467,partial,,,,China: Guangxi,China,,Sus scrofa,abdominal cavity,2012-03,,,"Porcine kobuvirus isolate Guangxi/G2/2012/CH polyprotein gene, complete cds"
LC210599,Porcine kobuvirus,GenBank,set:LC210599,,"Akagami,M., Ito,M., Niira,K., Kuroda,M., Masuda,T., Haga,K., Tsuchiaka,S., Naoi,Y., Kishimoto,M., Sano,K., Omatsu,T., Aoki,H., Katayama,Y., Oba,M., Oka,T., Ichimaru,T., Yamasato,H., Ouchi,Y., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Department of Bioproduction Science; 1-308 Suematsu, Nonoichi, Ishikawa 921-8836",Japan,5/20/17,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8110,partial,,,1,Japan,Japan,,Sus scrofa,,1/8/14,,,"Porcine kobuvirus gene for polyprotein, complete cds, strain: PoKoV/Bu1-8/JPN/2014"
LC210600,Porcine kobuvirus,GenBank,set:LC210600,,"Akagami,M., Ito,M., Niira,K., Kuroda,M., Masuda,T., Haga,K., Tsuchiaka,S., Naoi,Y., Kishimoto,M., Sano,K., Omatsu,T., Aoki,H., Katayama,Y., Oba,M., Oka,T., Ichimaru,T., Yamasato,H., Ouchi,Y., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Department of Bioproduction Science; 1-308 Suematsu, Nonoichi, Ishikawa 921-8836",Japan,5/20/17,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8100,partial,,,1,Japan,Japan,,Sus scrofa,,1/8/14,,,"Porcine kobuvirus gene for polyprotein, complete cds, strain: PoKoV/Bu2-2/JPN/2014"
LC210601,Porcine kobuvirus,GenBank,set:LC210601,,"Akagami,M., Ito,M., Niira,K., Kuroda,M., Masuda,T., Haga,K., Tsuchiaka,S., Naoi,Y., Kishimoto,M., Sano,K., Omatsu,T., Aoki,H., Katayama,Y., Oba,M., Oka,T., Ichimaru,T., Yamasato,H., Ouchi,Y., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Department of Bioproduction Science; 1-308 Suematsu, Nonoichi, Ishikawa 921-8836",Japan,5/20/17,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8085,partial,,,1,Japan,Japan,,Sus scrofa,,1/8/14,,,"Porcine kobuvirus gene for polyprotein, complete cds, strain: PoKoV/Bu2-3/JPN/2014"
LC210602,Porcine kobuvirus,GenBank,set:LC210602,,"Akagami,M., Ito,M., Niira,K., Kuroda,M., Masuda,T., Haga,K., Tsuchiaka,S., Naoi,Y., Kishimoto,M., Sano,K., Omatsu,T., Aoki,H., Katayama,Y., Oba,M., Oka,T., Ichimaru,T., Yamasato,H., Ouchi,Y., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Department of Bioproduction Science; 1-308 Suematsu, Nonoichi, Ishikawa 921-8836",Japan,5/20/17,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8109,partial,,,1,Japan,Japan,,Sus scrofa,,1/8/14,,,"Porcine kobuvirus gene for polyprotein, complete cds, strain: PoKoV/Bu2-5/JPN/2014"
