Accession,Organism_Name,Assembly,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,GenBank_RefSeq,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
KF695124,Porcine kobuvirus,set:KF695124,,"Wang,Y., Yang,S., Zhang,W., Hua,X.",School of Medical Science and Laboratory Medicine,China,2014-01-15,ch-kobu/2008/China,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8120,GenBank,complete,,,,China,China,,Sus scrofa,feces,2008-12-05,,,"Porcine kobuvirus isolate ch-kobu/2008/China, complete genome"
KF539763,Porcine kobuvirus,set:KF539763,,"Wang,E., Yang,B., Liu,W., Liu,J., Ma,X., Lan,X., Wang,E.L., Ma,X.J., Liu,J.X.","Chinese Academy of Agricultural Sciences, State Key Laboratory of Veterinary Etiological Biology, Key Laboratory of Grazing Animal Diseases, Lanzhou Veterinary Research Institute",China,2013-11-24,swKoV CH441,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8149,GenBank,complete,,,1,China,China,,Sus scrofa,feces,2012-06,,,"Porcine kobuvirus isolate swKoV CH441, complete genome"
KC424638,Porcine kobuvirus,set:KC424638,,"Fan,S., Sun,H., Ying,Y., Gao,X., Wang,Z., Yu,Y., Li,Y., Wang,T., Yu,Z., Yang,S., Zhao,Y., Qin,C., Gao,Y., Xia,X., Gao,Y.W., Fan,S.T., Sun,H.T., Gao,X.L., Li,Y.G., Wang,T.C., Yu,Z.J., Xia,X.Z.","Academy of Military Medical Sciences, Department of Virology Research",China,2013-11-10,K-4/2012/CH,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8210,GenBank,complete,,,1,China,China,,Sus scrofa,feces,2012-08,,,"Porcine kobuvirus isolate K-4/2012/CH, complete genome"
KC424639,Porcine kobuvirus,set:KC424639,,"Fan,S., Sun,H., Ying,Y., Gao,X., Wang,Z., Yu,Y., Li,Y., Wang,T., Yu,Z., Yang,S., Zhao,Y., Qin,C., Gao,Y., Xia,X., Gao,Y.W., Fan,S.T., Sun,H.T., Gao,X.L., Li,Y.G., Wang,T.C., Zhang,K., Xu,W.W., Yu,Z.J., Xia,X.Z.","Academy of Military Medical Sciences, Department of Virology Research",China,2013-11-10,GS-1/2012/CH,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8121,GenBank,complete,,,1,China,China,,Sus scrofa,feces,2012-08,,,"Porcine kobuvirus isolate GS-1/2012/CH, complete genome"
KC424640,Porcine kobuvirus,set:KC424640,,"Fan,S., Sun,H., Ying,Y., Gao,X., Wang,Z., Yu,Y., Li,Y., Wang,T., Yu,Z., Yang,S., Zhao,Y., Qin,C., Gao,Y., Xia,X., Gao,Y.W., Fan,S.T., Sun,H.T., Gao,X.L., Li,Y.G., Wang,T.C., Zhang,K., Xu,W.W., Yu,Z.J., Xia,X.Z.","Academy of Military Medical Sciences, Department of Virology Research",China,2013-11-10,GS-2/2012/CH,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8121,GenBank,complete,,,1,China,China,,Sus scrofa,feces,2012-08,,,"Porcine kobuvirus isolate GS-2/2012/CH, complete genome"
KC204684,Porcine kobuvirus,set:KC204684,,"Ji,G.B., Wang,C.Q.","Henan Agricultural University, College of Animal Science and Veterinary Medicine",China,2013-03-04,XX,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8147,GenBank,complete,,,,China,China,,Sus scrofa,feces,2011,,,"Porcine kobuvirus isolate XX, complete genome"
JX827598,Porcine kobuvirus,set:JX827598,,"Shi,D., Zhang,S., Chen,J., Shi,H., Zhang,X., Feng,L., Chen,J.-F., Shi,H.-Y.","Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Division of Swine Infectious Diseases of State Key Laboratory of Veterinary Biotechnology",China,2012-11-24,CH/HZ/2011,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8101,GenBank,partial,,,1,China,China,,Sus scrofa,feces,2011,,,"Porcine kobuvirus isolate CH/HZ/2011 polyprotein gene, complete cds"
JX401523,Porcine kobuvirus,set:JX401523,,"Cao,W., Zheng,H., Zhang,K., Jin,Y., Lv,L., Yang,F., Liu,X., Liu,H.","Lanzhou Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Lab of RNA Virus Research",China,2012-09-26,CH/HNXX-4/2012,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8122,GenBank,complete,,,1,China,China,,Sus scrofa,abdominal cavity,2012-04,,,"Porcine kobuvirus isolate CH/HNXX-4/2012, complete genome"
JX177612,Porcine kobuvirus,set:JX177612,,"Reuter,G., Nemes,C., Boros,A., Kapusinszky,B., Delwart,E., Pankovics,P.","ANTSZ Baranya County Institute of State Public Health Sevice, Regional Laboratory of Virology",Hungary,2012-08-07,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8210,GenBank,complete,,,1,Hungary,Hungary,,Sus scrofa,feces,2011-04,,,"Porcine kobuvirus strain WB-1-HUN/2011/HUN, complete genome"
JQ692069,Porcine kobuvirus,set:JQ692069,,"Lin,Y.C., Fang,L.R., Xiao,S.B.","Huazhong Agricultural University, State Key Laboratory of Agricultural",China,2012-05-27,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8226,GenBank,complete,,,,China,China,,Sus scrofa,feces,2011-06,,,"Porcine kobuvirus strain WUH1, complete genome"
JN630514,Porcine kobuvirus SH-W-CHN/2010/China,set:JN630514,,"Wang,C., Lan,D., Cui,L., Yang,Z., Yuan,C., Hua,X., Wang,C.S., Lan,D.L., Hua,X.G.","Shanghai Jiao Tong University, School of Agriculture and Biology",China,2012-01-29,SH-W-CHN/2010/China,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8210,GenBank,complete,,,1,China,China,,Sus scrofa,feces,2010-12,,,"Porcine kobuvirus SH-W-CHN/2010/China, complete genome"
AB624493,Porcine kobuvirus THA/2007,set:AB624493,,"Okitsu,S., Khamrin,P., Thongprachum,A., Hidaka,S., Kongkaew,S., Kongkaew,A., Maneekarn,N., Mizuguchi,M., Hayakawa,S., Ushijima,H.","Division of Microbiology, Department of Pathology and Microbiology; 30-1, Oyaguchi-kamimachi, Itabashi, Tokyo 173-8610",Japan,2011-04-14,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8041,GenBank,partial,,1,1,Thailand,Thailand,,Sus scrofa domesticus,feces,2007,,,"Porcine kobuvirus THA/2007 gene for polyprotein, complete cds, strain: CMP06/07-THA"
GU292559,Kobuvirus pig/JY-2010a/CHN,set:GU292559,,"Yu,J.M., Xu,Z.Q., Li,B.W., Zhang,Q., Cui,S.X., Jin,M., Duan,Z.J., Yu,J., Duan,Z.","Institute for Viral Disease Control and Prevention, Department of Viral Diarrhea",China,2010-01-19,Y-1-CHI,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8210,GenBank,complete,,,1,China,China,,Sus scrofa,,,,,"Kobuvirus pig/JY-2010a/CHN isolate Y-1-CHI, complete genome"
GQ249161,Porcine kobuvirus swine/K-30-HUN/2008/HUN,set:GQ249161,,"Reuter,G., Kecskemeti,S., Pankovics,P.","ANTSZ Baranya County Institute of State Public Health Service, Regional Laboratory of Virology",Hungary,2010-01-11,swine/K-30-HUN/2008/HUN,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8210,GenBank,complete,,,1,Hungary,Hungary,,Sus scrofa,feces,2008,,,"Porcine kobuvirus swine/K-30-HUN/2008/HUN, complete genome"
EU787450,aichivirus C1,set:EU787450,,"Reuter,G., Boldizsar,A., Kiss,I., Pankovics,P.","ANTSZ Baranya County Institute of State Public Health Service, Regional Laboratory of Virology",Hungary,2008-12-04,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8210,GenBank,complete,,,2,Hungary,Hungary,,Sus scrofa,feces,2007,,,"Aichivirus C1 strain swine/S-1-HUN/2007/Hungary, complete genome"
LC055960,Kobuvirus cattle/Kagoshima-2-24-KoV/2015/JPN,set:LC055960,,"Otomaru,K., Naoi,Y., Haga,K., Omatsu,T., Uto,T., Koizumi,M., Masuda,T., Yamasato,H., Takai,H., Aoki,H., Tsuchiaka,S., Sano,K., Okazaki,S., Katayama,Y., Oba,M., Furuya,T., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Research and Education Center for Prevention of Global Infectious Disease of Animal; 3-5-8 Saiwai, Fuchu, Tokyo 183-8509",Japan,2015-09-25,,Aichivirus D,Kobuvirus,Picornaviridae,ssRNA(+),8496,GenBank,complete,,,1,Japan: Kagoshima,Japan,,Bos taurus,,2015-02-02,,,"Kobuvirus cattle/Kagoshima-2-24-KoV/2015/JPN genomic RNA, complete genome, strain: Kagoshima-2-24-KoV/2015/JPN"
LC055961,Kobuvirus cattle/Kagoshima-1-22-KoV/2014/JPN,set:LC055961,,"Otomaru,K., Naoi,Y., Haga,K., Omatsu,T., Uto,T., Koizumi,M., Masuda,T., Yamasato,H., Takai,H., Aoki,H., Tsuchiaka,S., Sano,K., Okazaki,S., Katayama,Y., Oba,M., Furuya,T., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Research and Education Center for Prevention of Global Infectious Disease of Animal; 3-5-8 Saiwai, Fuchu, Tokyo 183-8509",Japan,2015-09-25,,Aichivirus D,Kobuvirus,Picornaviridae,ssRNA(+),8087,GenBank,complete,,,1,Japan: Kagoshima,Japan,,Bos taurus,,2014-11,,,"Kobuvirus cattle/Kagoshima-1-22-KoV/2014/JPN genomic RNA, nearly complete genome, strain: Kagoshima-1-22-KoV/2014/JPN"
KT325852,Rabbit picornavirus,set:KT325852,,"Pankovics,P., Boros,A., Biro,H., Horvath,K.B., Phan,T.G., Delwart,E., Reuter,G.","ANTSZ Baranya County Institute of State Public Health Service, Regional Laboratory of Virology",Hungary,2015-11-23,,Aichivirus E,Kobuvirus,Picornaviridae,ssRNA(+),8364,GenBank,complete,,,1,Hungary,Hungary,,Oryctolagus cuniculus,feces,2013-04,,,"Rabbit picornavirus strain Rabbit01/2013/HUN, complete genome"
OR951280,Aichivirus F,,SRS18304508,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.","Institute of Pathogen Biology Chinese Academy of Medical Sciences and Peking Union Medical College, Pathogen Biology",China,2024-03-19,GD2017_210_473,Aichivirus F,Kobuvirus,Picornaviridae,ssRNA(+),7542,GenBank,partial,,,,China,China,,Myotis ricketti,swab,2017,SAMN36440390,PRJNA994658,"MAG: Aichivirus F isolate GD2017_210_473 polyprotein-like gene, complete sequence"
OR951282,Aichivirus F,,SRS18304508,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.","Institute of Pathogen Biology Chinese Academy of Medical Sciences and Peking Union Medical College, Pathogen Biology",China,2024-03-19,GD2017_210_5247,Aichivirus F,Kobuvirus,Picornaviridae,ssRNA(+),7755,GenBank,partial,,,,China,China,,Myotis ricketti,swab,2017,SAMN36440390,PRJNA994658,"MAG: Aichivirus F isolate GD2017_210_5247 polyprotein-like gene, complete sequence"
KJ641686,aichivirus F1,set:KJ641686,,"Wu,Z., Yang,L., Ren,X., He,G., Zhang,J., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J., Yang,F., Zhang,S., Jin,Q.","Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College, MOH Key Laboratory of Systems Biology of Pathogens",China,2015-03-31,BtMr-PicoV/JX2010,Aichivirus F,Kobuvirus,Picornaviridae,ssRNA(+),7555,GenBank,partial,,,1,China,China,,Myotis ricketti,,2010-10,,,"Bat kobuvirus 1 isolate BtMr-PicoV/JX2010 polyprotein gene, partial cds"
KJ641691,aichivirus F2,set:KJ641691,,"Wu,Z., Yang,L., Ren,X., He,G., Zhang,J., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J., Yang,F., Zhang,S., Jin,Q.","Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College, MOH Key Laboratory of Systems Biology of Pathogens",China,2015-03-31,BtMf-PicoV-2/GD2012,Aichivirus F,Kobuvirus,Picornaviridae,ssRNA(+),7279,GenBank,partial,,,1,China,China,,Miniopterus fuliginosus,,2012-12,,,"Aichivirus F2 isolate BtMf-PicoV-2/GD2012 polyprotein gene, partial cds"
OP094599,Bamboo rat kobuvirus,,,"Wang,H., Shen,Y.","College of Veterinary Medicine, South China Agricultural University",China,2023-04-08,B45M02,Bamboo rat kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),8291,GenBank,complete,,,,China,China,,Rhizomys pruinosus,,2019-03,,,"Bamboo rat kobuvirus isolate B45M02, complete genome"
OR951219,Bat kobuvirus,,SRS18304555,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.","Institute of Pathogen Biology Chinese Academy of Medical Sciences and Peking Union Medical College, Pathogen Biology",China,2024-03-19,HI2018,Bat kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),7351,GenBank,partial,,,,China,China,,Scotophilus kuhlii,swab,2018,SAMN36440214,PRJNA994658,"MAG: Bat kobuvirus isolate HI2018 polyprotein gene, complete cds"
OR951245,Bat kobuvirus,,SRS18304586,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.","Institute of Pathogen Biology Chinese Academy of Medical Sciences and Peking Union Medical College, Pathogen Biology",China,2024-03-19,HI2019,Bat kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),7700,GenBank,partial,,,,China,China,,Rhinolophus affinis,swab,2019,SAMN36440286,PRJNA994658,"MAG: Bat kobuvirus isolate HI2019 polyprotein gene, complete cds"
OR951253,Bat kobuvirus,,SRS18304809,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.","Institute of Pathogen Biology Chinese Academy of Medical Sciences and Peking Union Medical College, Pathogen Biology",China,2024-03-19,GD2018_174_30389,Bat kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),7680,GenBank,partial,,,,China,China,,Scotophilus kuhlii,swab,2018,SAMN36440354,PRJNA994658,"MAG: Bat kobuvirus isolate GD2018_174_30389 polyprotein gene, complete cds"
OR951256,Bat kobuvirus,,SRS18304809,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.","Institute of Pathogen Biology Chinese Academy of Medical Sciences and Peking Union Medical College, Pathogen Biology",China,2024-03-19,GD2018_174_126198,Bat kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),7512,GenBank,partial,,,,China,China,,Scotophilus kuhlii,swab,2018,SAMN36440354,PRJNA994658,"MAG: Bat kobuvirus isolate GD2018_174_126198 polyprotein gene, complete cds"
OR951260,Bat kobuvirus,,SRS18304815,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.","Institute of Pathogen Biology Chinese Academy of Medical Sciences and Peking Union Medical College, Pathogen Biology",China,2024-03-19,GD2018_176_172338,Bat kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),7871,GenBank,partial,,,,China,China,,Scotophilus kuhlii,swab,2018,SAMN36440356,PRJNA994658,"MAG: Bat kobuvirus isolate GD2018_176_172338 polyprotein gene, complete cds"
OR951262,Bat kobuvirus,,SRS18304609,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.","Institute of Pathogen Biology Chinese Academy of Medical Sciences and Peking Union Medical College, Pathogen Biology",China,2024-03-19,GD2018,Bat kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),7499,GenBank,partial,,,,China,China,,Scotophilus kuhlii,swab,2018,SAMN36440358,PRJNA994658,"MAG: Bat kobuvirus isolate GD2018 polyprotein-like gene, complete sequence"
OR951267,Bat kobuvirus,,SRS18304617,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.","Institute of Pathogen Biology Chinese Academy of Medical Sciences and Peking Union Medical College, Pathogen Biology",China,2024-03-19,GX2017,Bat kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),7519,GenBank,partial,,,,China,China,,Scotophilus kuhlii,swab,2017,SAMN36440366,PRJNA994658,"MAG: Bat kobuvirus isolate GX2017 polyprotein-like gene, complete sequence"
OR951365,Bat kobuvirus,,SRS18304552,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.","Institute of Pathogen Biology Chinese Academy of Medical Sciences and Peking Union Medical College, Pathogen Biology",China,2024-03-19,LN2020_329_62009,Bat kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),7581,GenBank,partial,,,,China,China,,Rhinolophus ferrumequinum,swab,2020,SAMN36440509,PRJNA994658,"MAG: Bat kobuvirus isolate LN2020_329_62009 polyprotein gene, complete cds"
NC_034971,Canine kobuvirus,GCF_002194365.1,,"Li,X.M., Tang,C., Wang,M.","National Center for Biotechnology Information, NIH",USA,2017-06-13,SMCD-59,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),8216,RefSeq,complete,,,,China,China,,Canis lupus familiaris,feces,2015-09,,PRJNA485481,"Canine kobuvirus isolate SMCD-59, complete genome"
PP320358,Canine kobuvirus,,,"Nguyen,T.V., Kasantikul,T., Piewbang,C., Techangamsuwan,S.","Faculty of Veterinary Science, Chulalongkorn University, Department of Pathology",Thailand,2024-02-17,G50_TH_2021,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),7571,GenBank,partial,,,,Thailand,Thailand,,Canis lupus familiaris,feces,2021,,,"Canine kobuvirus isolate G50_TH_2021 polyprotein gene, complete cds"
PP320359,Canine kobuvirus,,,"Nguyen,T.V., Kasantikul,T., Piewbang,C., Techangamsuwan,S.","Faculty of Veterinary Science, Chulalongkorn University, Department of Pathology",Thailand,2024-02-17,S76_TH_2021,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),7571,GenBank,partial,,,,Thailand,Thailand,,Canis lupus familiaris,feces,2021,,,"Canine kobuvirus isolate S76_TH_2021 polyprotein gene, complete cds"
PP320360,Canine kobuvirus,,,"Nguyen,T.V., Kasantikul,T., Piewbang,C., Techangamsuwan,S.","Faculty of Veterinary Science, Chulalongkorn University, Department of Pathology",Thailand,2024-02-17,S81_TH_2021,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),7571,GenBank,partial,,,,Thailand,Thailand,,Canis lupus familiaris,feces,2021,,,"Canine kobuvirus isolate S81_TH_2021 polyprotein gene, complete cds"
PP320361,Canine kobuvirus,,,"Nguyen,T.V., Kasantikul,T., Piewbang,C., Techangamsuwan,S.","Faculty of Veterinary Science, Chulalongkorn University, Department of Pathology",Thailand,2024-02-17,F8_TH_2022,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),7571,GenBank,partial,,,,Thailand,Thailand,,Canis lupus familiaris,feces,2022,,,"Canine kobuvirus isolate F8_TH_2022 polyprotein gene, complete cds"
PP320362,Canine kobuvirus,,,"Nguyen,T.V., Kasantikul,T., Piewbang,C., Techangamsuwan,S.","Faculty of Veterinary Science, Chulalongkorn University, Department of Pathology",Thailand,2024-02-17,V5_VN_2022,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),7571,GenBank,partial,,,,Viet Nam,Viet Nam,,Canis lupus familiaris,feces,2022,,,"Canine kobuvirus isolate V5_VN_2022 polyprotein gene, complete cds"
PP320363,Canine kobuvirus,,,"Nguyen,T.V., Kasantikul,T., Piewbang,C., Techangamsuwan,S.","Faculty of Veterinary Science, Chulalongkorn University, Department of Pathology",Thailand,2024-02-17,V25_VN_2022,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),7571,GenBank,partial,,,,Viet Nam,Viet Nam,,Canis lupus familiaris,feces,2022,,,"Canine kobuvirus isolate V25_VN_2022 polyprotein gene, complete cds"
PP320364,Canine kobuvirus,,,"Nguyen,T.V., Kasantikul,T., Piewbang,C., Techangamsuwan,S.","Faculty of Veterinary Science, Chulalongkorn University, Department of Pathology",Thailand,2024-02-17,V91_VN_2022,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),7571,GenBank,partial,,,,Viet Nam,Viet Nam,,Canis lupus familiaris,feces,2022,,,"Canine kobuvirus isolate V91_VN_2022 polyprotein gene, complete cds"
PP320365,Canine kobuvirus,,,"Nguyen,T.V., Kasantikul,T., Piewbang,C., Techangamsuwan,S.","Faculty of Veterinary Science, Chulalongkorn University, Department of Pathology",Thailand,2024-02-17,V156_VN_2022,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),7571,GenBank,partial,,,,Viet Nam,Viet Nam,,Canis lupus familiaris,feces,2022,,,"Canine kobuvirus isolate V156_VN_2022 polyprotein gene, complete cds"
PP320366,Canine kobuvirus,,,"Nguyen,T.V., Kasantikul,T., Piewbang,C., Techangamsuwan,S.","Faculty of Veterinary Science, Chulalongkorn University, Department of Pathology",Thailand,2024-02-17,V162_VN_2022,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),7571,GenBank,partial,,,,Viet Nam,Viet Nam,,Canis lupus familiaris,feces,2022,,,"Canine kobuvirus isolate V162_VN_2022 polyprotein gene, complete cds"
PP320367,Canine kobuvirus,,,"Nguyen,T.V., Kasantikul,T., Piewbang,C., Techangamsuwan,S.","Faculty of Veterinary Science, Chulalongkorn University, Department of Pathology",Thailand,2024-02-17,V178_VN_2022,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),7571,GenBank,partial,,,,Viet Nam,Viet Nam,,Canis lupus familiaris,feces,2022,,,"Canine kobuvirus isolate V178_VN_2022 polyprotein gene, complete cds"
PP320368,Canine kobuvirus,,,"Nguyen,T.V., Kasantikul,T., Piewbang,C., Techangamsuwan,S.","Faculty of Veterinary Science, Chulalongkorn University, Department of Pathology",Thailand,2024-02-17,V180_VN_2022,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),7571,GenBank,partial,,,,Viet Nam,Viet Nam,,Canis lupus familiaris,feces,2022,,,"Canine kobuvirus isolate V180_VN_2022 polyprotein gene, complete cds"
PP320369,Canine kobuvirus,,,"Nguyen,T.V., Kasantikul,T., Piewbang,C., Techangamsuwan,S.","Faculty of Veterinary Science, Chulalongkorn University, Department of Pathology",Thailand,2024-02-17,V194_VN_2022,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),7571,GenBank,partial,,,,Viet Nam,Viet Nam,,Canis lupus familiaris,feces,2022,,,"Canine kobuvirus isolate V194_VN_2022 polyprotein gene, complete cds"
PP320370,Canine kobuvirus,,,"Nguyen,T.V., Kasantikul,T., Piewbang,C., Techangamsuwan,S.","Faculty of Veterinary Science, Chulalongkorn University, Department of Pathology",Thailand,2024-02-17,V196_VN_2022,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),7571,GenBank,partial,,,,Viet Nam,Viet Nam,,Canis lupus familiaris,feces,2022,,,"Canine kobuvirus isolate V196_VN_2022 polyprotein gene, complete cds"
OP093966,Canine kobuvirus,,,"de Deus,D.R., Siqueira,J.A.M., Cardoso,B.T.M., Teixeira,D.M., Maues,M.A.C., de Figueiredo,M.J.F.M., Junior,E.C.S., Bandeira,R.S., Pinheiro,K.C., Guerra,S.F.S., Soares,L.S., Resque,H.R., da Silva,L.D., Gabbay,Y.B.","Evandro Chagas Institute, Virology",Brazil,2022-10-26,PK02,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),8209,GenBank,complete,,,,Brazil,Brazil,,Canis lupus familiaris,feces,2019,,,"Canine kobuvirus strain CaKoV/PK02/2019/BRA, complete genome"
OP093967,Canine kobuvirus,,,"de Deus,D.R., Siqueira,J.A.M., Cardoso,B.T.M., Teixeira,D.M., Maues,M.A.C., de Figueiredo,M.J.F.M., Junior,E.C.S., Bandeira,R.S., Pinheiro,K.C., Guerra,S.F.S., Soares,L.S., Resque,H.R., da Silva,L.D., Gabbay,Y.B.","Evandro Chagas Institute, Virology",Brazil,2022-10-26,PK01,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),8216,GenBank,complete,,,,Brazil,Brazil,,Canis lupus familiaris,feces,2019,,,"Canine kobuvirus strain CaKoV/PK01/2019/BRA, complete genome"
OP093968,Canine kobuvirus,,,"de Deus,D.R., Siqueira,J.A.M., Cardoso,B.T.M., Teixeira,D.M., Maues,M.A.C., de Figueiredo,M.J.F.M., Junior,E.C.S., Bandeira,R.S., Pinheiro,K.C., Guerra,S.F.S., Soares,L.S., Resque,H.R., da Silva,L.D., Gabbay,Y.B.","Evandro Chagas Institute, Virology",Brazil,2022-10-26,PK04,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),8209,GenBank,complete,,,,Brazil,Brazil,,Canis lupus familiaris,feces,2019,,,"Canine kobuvirus strain CaKoV/PK04/2019/BRA, complete genome"
OM451182,Canine kobuvirus,,SRR17481203,"He,W.-T., Hou,X., Zhao,J., Sun,J., He,H., Si,W., Wang,J., Jiang,Z., Yan,Z., Xing,G., Lu,M., Suchard,M.A., Ji,X., Gong,W., He,B., Li,J., Lemey,P., Guo,D., Tu,C., Holmes,E.C., Shi,M., Su,S.","Nanjing Agricultural University, College of Veterinary Medicine",China,2022-03-09,JX-MO1,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),8315,GenBank,partial,,,,China,China,,Vulpes lagopus,,2021,SAMN24587272,PRJNA793740,"MAG: Canine kobuvirus isolate JX-MO1 polyprotein gene, complete cds"
MT610361,Canine kobuvirus,,,"Agnihotri,D., Maan,S., Batra,K., Kumar,A., Rana,Y., Mor,S.","Lala Lajpat Rai University of Veterinary and Animal Sciences, Animal Biotechnology",India,2021-07-25,CKoV/IND/2016,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),7975,GenBank,partial,,,,India,India,,Canis lupus familiaris,feces,2016,,,"Canine kobuvirus isolate CKoV/IND/2016 polyprotein gene, complete cds"
MN337880,Canine kobuvirus,set:MN337880,,"van Dyck,L., Pfankuche,V.M., Jo,W.K., Kaiser,F.K., Wohlsein,P., Peters,M., Baumann,I., Jung,K., Osterhaus,A., Baumgartner,W., Ludlow,M.","University of Veterinary Medicine Hannover Foundation, Research Center for Emerging Infections and Zoonoses (RIZ)",Germany,2020-03-04,,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),8312,GenBank,complete,,,,Germany,Germany,,Vulpes vulpes,,2016-04-13,,,"Canine kobuvirus strain S272/16, complete genome"
MN449341,Canine kobuvirus,set:MN449341,,"Cui,Y., Li,Y.","Anhui Agricultyral University, College of Animal Science and Technology",China,2019-10-06,CaKoV AH-1/CHN/2019,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),8223,GenBank,complete,,,,China,China,,Canis lupus familiaris,feces,2019-04,,,"Canine kobuvirus isolate CaKoV AH-1/CHN/2019, complete genome"
